date,text,score_label,score_negative,score_neutral,score_positive,retweetCount,replyCount,likeCount,quoteCount,robertuito_7,robertuito_214,robertuito_231,robertuito_244,robertuito_298,robertuito_311,robertuito_328,robertuito_373,robertuito_551,robertuito_625,robertuito_650
2022-06-18,presidente gabriel boric cierre división ventanas codelco medida eleven estándares empresas cumplan normativa vamos llegar punto equilibrio señal vivo,0.6566584,0.19171979,0.6566584,0.15162179,54,7,240,3,0.29494843,-0.045111533,1.336355,0.28961772,-0.27205095,-0.682547,-0.5704019,-0.18456669,0.57343286,0.4161859,0.8484198
2022-06-18,tememos presidente fachos rqliosy valiente piñera pudo hacer años presidente boric tres meses gobierna,0.92657924,0.92657924,0.058475636,0.014945185,160,29,675,4,-0.20464332,0.28410694,0.8984717,0.33755285,0.38218465,0.17236224,-0.11277298,0.072644934,0.8122151,0.23502225,0.38694608
2022-06-18,gabriel boric reformador mundo valor reformar enfrentarse poder queriendo siga igual presidente niños ventanas puchuncaví agradecen salud agradece,0.5349548,0.21817622,0.5349548,0.24686904,341,10,1285,12,0.35987428,0.5442731,1.1394087,0.13981937,-0.62933767,-0.8953286,-0.35657868,-0.28638348,0.63434446,0.26368144,0.7967786
2022-11-21,encuesta cadem aprobación presidente gabriel boric cae do puntos llega,0.56482536,0.33225384,0.56482536,0.1029208,63,69,192,2,0.11063926,0.23227525,1.3821479,0.06067236,-0.07901706,-0.65912884,-1.094097,0.08922519,0.9931586,-0.7532445,0.91289973
2022-11-21,presidente boric encabeza comité político biblioteca municipal huechuraba señal vivo,0.56191415,0.14453827,0.56191415,0.29354763,56,58,317,11,0.061530344,0.22847907,1.5808461,0.10679395,-0.4685188,-0.2172781,-0.50536835,-0.37550658,0.7826541,-0.46788806,0.7214552
2022-11-21,presidente reforma pensiones hace cargo injusticia naturalizado mujeres sólo hecho mujeres pensiones bajas hombre injusto vivo,0.95216805,0.95216805,0.043116853,0.0047150617,339,566,1087,75,0.38751552,1.5617136,0.73320836,0.25804228,0.086839855,-0.35451987,-0.22135195,-0.7730231,0.58503515,-1.045503,1.2644746
2022-11-21,gabriel boric suma centroderecha propone josé morale fiscal nacional electores duros sienten traicionados,0.82367593,0.82367593,0.15338862,0.022935431,104,24,235,7,0.21443844,0.46358183,0.9770468,0.31916493,0.13116573,-0.40060583,-0.33537704,-0.3611138,0.6930445,0.20576668,0.6382325
2022-12-25,entrevista exclusiva presidente analiza primeros meses gobierno repasa errores aciertos dice fracaso plebiscito movimiento telúrico modificó agenda,0.5118833,0.42369017,0.5118833,0.06442652,58,67,222,12,0.26995504,-0.5437169,1.3207431,0.21520472,-0.13907982,-0.4860588,-0.4366848,0.14308406,0.52993655,-0.04297292,0.5947139
2022-12-25,presidente boric capaz expresar hacia afuera capaz gobernarse mismo puedas gobernar país,0.70728475,0.14823665,0.70728475,0.14447854,189,492,1289,135,0.72653097,-0.0467936,1.0884451,0.12594724,-0.36966667,0.23397796,-0.53747964,-1.0835217,0.404306,0.90217495,1.019325
2022-12-25,presidente gabriel boric acompañó personal médico policial turno noche navidad,0.53201056,0.059010796,0.53201056,0.40897867,695,670,5534,137,0.2084778,-0.033593975,1.6483759,0.07596286,0.067352496,-0.45338297,-0.1973156,-0.46466452,1.0019735,-0.28013033,1.039986
2022-12-25,pasó nochebuena comisarías hospitales haciendo guardia funcionario público cuánta empatía ello presidente gabriel boric,0.6293903,0.6293903,0.29912117,0.07148853,1240,20,6001,66,0.10196862,0.8535085,1.0090874,0.24598722,-0.12599032,-0.027148182,0.12170508,-0.25177538,0.47408852,0.38155007,0.7712342
2022-12-25,presidente niños país hace años presidente decía futuro chile comienza niños niñas decimos ustedes futuro señal vivo,0.5775785,0.15680625,0.5775785,0.26561525,146,532,971,75,0.22786266,-0.3675306,0.9754237,0.7675178,-0.4412916,-1.0471072,-0.078599565,-0.59239525,1.0791619,0.6040489,1.0811586
2022-12-25,particular mensaje navideño bodoque escribió presidente,0.74693596,0.06820148,0.74693596,0.18486254,261,61,1313,35,-0.06997772,1.1602347,1.2912353,-0.41779533,-0.19504797,-0.41149902,-1.1864341,-0.19425075,0.18150678,0.8956703,0.5879325
2022-12-25,orgullo tener presidente gabriel boric sensibilidad empatía necesaria trabajar chile,0.89652073,0.028274432,0.075204805,0.89652073,23,5,206,0,0.87796783,0.043328676,1.0722598,0.5129209,0.54719293,-0.3040356,-0.4306455,-0.39739683,1.6608715,0.656301,0.69910425
2022-12-25,presidente boric hace balance casi gobierno arrepiente apoyar tercer cuarto retiro,0.7424067,0.7424067,0.2329798,0.024613459,299,1012,946,339,0.06884754,-0.22236991,1.4793195,0.0075664455,0.04380355,-0.60616446,-0.6315869,-0.49740854,0.55701387,-0.044949256,0.9819664
2022-12-25,fotos gabriel boric visitó comisarías hospital nochebuena,0.50288516,0.14452152,0.50288516,0.35259333,17,17,185,2,0.15578829,0.12553371,1.3513159,0.17722034,-0.51463103,-0.6764948,-0.19664921,-0.20425363,0.47679093,0.10335177,0.41319165
2022-12-25,país necesitaba presidente gabriel boric,0.4835725,0.30400905,0.4835725,0.2124185,251,420,2180,42,0.30318135,0.3431445,1.0408777,0.3152062,0.038682498,-1.1912425,-0.7263219,-0.43728256,1.0633985,0.606028,0.6204575
2022-12-25,rechazo gabriel boric volvió subir llegando sólo aprueba gestión peores números últimos do meses fuente,0.90759456,0.90759456,0.08240106,0.010004314,1165,159,1876,82,0.26180705,0.6139407,1.1608686,0.16675042,0.59958464,-0.34526333,-0.8138257,-0.1452556,-0.15579972,-0.3369372,0.41620687
2022-12-25,chilenos confían boric nunca historia chile presidente alcanzó nivel desconfianza primeros nueve meses gobierno histórico fuente,0.7635908,0.7635908,0.20050289,0.035906274,1063,82,1431,42,0.2996159,-0.21210536,1.3316958,0.55855143,-0.57006294,-0.52435267,-0.080412515,-0.44044375,0.43225366,0.40264702,0.43173218
2022-12-25,gabriel boric did it first,0.49308792,0.07817043,0.42874163,0.49308792,0,0,8,0,0.09804099,0.54783666,1.0965446,0.26187694,0.4562061,-0.30543944,-0.60625714,0.09069567,0.20020437,-0.7487194,0.86564696
2023-09-01,ministra vallejo comenta palabras presidente boric habló acto cobardía aquellos responsables perpetrar crímenes brutales historia quisieron hacerse responsables entregar informacion enfrentar justicia,0.9347136,0.9347136,0.05845106,0.006835303,356,30,1027,10,0.020091683,0.75138843,1.2619065,0.67001474,0.3922754,0.08900736,0.11822467,-0.17369077,0.4775434,0.07435757,0.5180941
2023-09-01,verdad duele mata mentira agrada sana presidente boric correcto cobardes aún callan casas,0.72746193,0.72746193,0.21635565,0.056182384,338,12,859,3,-0.042697355,0.35997587,0.10384874,-0.16509432,-0.832041,-0.38455045,0.15694645,-0.019326935,0.2430169,1.2493773,0.2564026
