createdAt,retweetCount,viewCount,id,isReply,text,text_limpio,sentiment
Thu Mar 06 19:31:57 +0000 2025,0,0,1897731897133826493,False,"Quiere ver como aumentan su patrimonio los ministros de Boric, mientras nosotros nos pelamos el lomo.... QUE PARA ÉSTO... ¡Echa un vistazo al vídeo de Alejandro Gonzalez! #TikTok https://t.co/hmyJebvUUc",quiere ver aumentan patrimonio ministros boric mientras pelamos lomo ésto echa vistazo vídeo alejandro gonzalez tiktok,Negative
Thu Mar 06 19:31:00 +0000 2025,0,1,1897731661548470479,True,"@fenuchile @ivanwese De dónde, si Boric siempre fue amarillo, por eso lo votamos...",dónde si boric siempre amarillo votamos,Negative
Thu Mar 06 19:30:36 +0000 2025,0,1,1897731561027481627,False,Que buena vida de los ZURDOS que no tienen que lidiar con las consecuencias de las politicas ZURDAS #mangadehijosderemilputa #MerluzoCTM #juancarlosmuñoz #boric,buena vida zurdos lidiar consecuencias politicas zurdas mangadehijosderemilputa merluzoctm juancarlosmuñoz boric,Negative
Thu Mar 06 19:30:32 +0000 2025,0,1,1897731543843357053,True,@jgalemparte Y por qué hay que andar comprando casas de ex presidentes??? No me imagino en el futuro comprar alguna propiedad pasasa a meao donde vivía Boric,andar comprando casas ex presidentes imagino futuro comprar alguna propiedad pasasa meao vivía boric,Negative
Thu Mar 06 19:29:30 +0000 2025,0,1,1897731281955197024,True,@PenajaAgain Magnum thin 😭😭😭😭 he hates em so he’s looking at other options to use. I def had to invest in the boric acid WASH to keep things normal so you ain’t lying at all in them tweets! And I don’t even do those type of washes,magnum thin hates em so hes looking at other options to use i def had to invest in the boric acid wash to keep things normal so you aint lying at all in them tweets and i dont even do those type of washes,Negative
Thu Mar 06 19:29:22 +0000 2025,0,0,1897731249772655082,True,@CalderonBassi Es que después de Boric cualquiera se envalentona,después boric cualquiera envalentona,Neutral
Thu Mar 06 19:28:38 +0000 2025,0,4,1897731065562968315,True,"@elvillegaschile Tal cuál,PC estrategas unidos se aguantaron cerca de 3 años todos guardados, cero protesta a Boric y ahora último año habrá q ver estas organizaciones, están haciendo la previa ya q el próximo gob ojalá derecha derechita o extrema cualquiera de las anteriores ojalá tenga valentía",tal cuálpc estrategas unidos aguantaron cerca años guardados cero protesta boric ahora último año q ver organizaciones haciendo previa q próximo gob ojalá derecha derechita extrema cualquiera anteriores ojalá valentía,Negative
Thu Mar 06 19:27:52 +0000 2025,0,3,1897730870880223663,True,@rpalamaras @Mayafernandeza 🥱🥱🥱Nunca ocurrió,nunca ocurrió,Neutral
Thu Mar 06 19:27:51 +0000 2025,0,1,1897730868958945413,True,@latercera Boric comenzó la campaña duramente,boric comenzó campaña duramente,Negative
Thu Mar 06 19:27:08 +0000 2025,0,2,1897730688222200216,True,"@nenya001 eso dicen los medios gringos, jajaja despues aparece con una capucha blanca KKK",dicen medios gringos jajaja despues aparece capucha blanca kkk,Neutral
